연번,과정명,기수,구분,주제,기획설명,활용데이터,활용기술,깃허브 주소
108,SK네트웍스 Family AI 캠프,5,교과목실습2,캘리포니아 지역 통신사 고객 데이터를 분석하여 고객 이탈률을 예측하는 프로젝트입니다.,"이 프로젝트는 캘리포니아 A통신사의 고객 이탈률 예측을 통해 통신 시장을 고찰하는 것을 목표로 합니다. 7,044행 66열의 데이터를 전처리하고 상관관계 분석, 모델 성능 비교, 하이퍼파라미터 튜닝, ROC 및 Precision-recall 시각화 등을 수행했습니다. Streamlit 화면을 구현하고 고객 만족도, 약정 기간, 선물 제공이 이탈률과 큰 상관관계를 가진다는 분석 결과를 제시했습니다.",,"Python, NumPy, Pandas, Google Colab, Streamlit, GBM, Stacking",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN05-2ST-2TEAM
109,SK네트웍스 Family AI 캠프,5,교과목실습2,Kaggle cell2cell 데이터셋을 활용해 통신사 고객 이탈 요인을 분석하고 이탈 여부를 예측하는 프로젝트입니다.,"구독 기반 통신사 서비스에서 고객 이탈이 기업 손실로 이어질 수 있다는 문제를 바탕으로, 고객 행동 패턴과 이탈 요인을 분석했습니다. 결측치 처리, 범주형 인코딩, 서비스 지역 분류, 추가 피처 생성, 변화율 이진화 등 전처리를 수행하고 RandomForest, AdaBoost, LightGBM, Linear Regression, MLP 모델을 비교했습니다. 프로젝트의 목표는 전처리의 중요성을 강조하고 데이터 전처리를 통해 고객 이탈 예측 모델의 성능을 개선하는 것입니다.",Kaggle cell2cell 데이터셋,"Python, GitHub, Machine Learning, Deep Learning, RandomForest, AdaBoost, LightGBM, Linear Regression, MLP, SMOTE, Random Over Sampling, Ordinal Encoder, One-hot Encoding",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN05-2ST-3TEAM
110,SK네트웍스 Family AI 캠프,5,교과목실습2,전자상거래 고객의 이탈 행동 패턴을 분석하고 이탈 가능성이 높은 고객을 예측하는 프로젝트입니다.,"이커머스 시장의 경쟁 심화로 고객 이탈이 큰 손실로 이어질 수 있어, 고객 이탈 가능성을 조기에 감지하고 원인을 분석하는 것을 목표로 합니다. EDA, 데이터 전처리, 여러 예측 모델 비교 및 하이퍼파라미터 튜닝을 통해 고객 이탈을 분석·예측하며, Streamlit을 활용한 예측 시각화도 제공합니다. 최종적으로 Tenure, Complain, CashbackAmount 등의 주요 변수를 바탕으로 이탈 방지 전략 수립에 필요한 정보를 제공하고자 합니다.",,"Python, Streamlit, SMOTE, BorderlineSMOTE, GridSearchCV, AdaBoost, XGBoost, MLP, CatBoost, Logistic Regression, RandomForest, Decision Tree, Gradient Boosting",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN05-2ST-4TEAM
111,SK네트웍스 Family AI 캠프,5,교과목실습3,운전자 보험 약관 문서를 기반으로 사용자의 질문에 답변하는 RAG 기반 질의응답 챗봇 프로젝트입니다.,"복잡한 운전자 보험 약관 정보를 일반 사용자나 상담원이 쉽게 조회할 수 있도록 돕는 것을 목표로 합니다. PDF 약관 문서를 전처리해 벡터화하고 Chroma DB에 저장한 뒤, 사용자 질문과 유사한 문서를 검색하여 GPT-4o-mini로 답변을 생성합니다. RAG와 프롬프트 엔지니어링을 통해 문서 기반 답변을 제공하고 할루시네이션을 최소화하는 방향으로 설계되었습니다.",,"Python, LangChain, RAG, OpenAI, GPT-4o-mini, Hugging Face, jhgan/ko-sroberta-multitask, ChromaDB, Streamlit, Git",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN05-3RD-1TEAM
112,SK네트웍스 Family AI 캠프,5,교과목실습3,LLM과 RAG를 활용해 응급처치 매뉴얼 질의응답과 인근 병원 정보 조회를 제공하는 시스템입니다.,"README는 응급처치 절차가 골든타임 내 생존률 향상에 중요하지만 실제로 이해하고 기억하는 비율이 낮다는 문제를 제시합니다. 이 프로젝트는 PDF 매뉴얼 정보와 크롤링 정보를 기반으로 응급처치 절차에 대한 RAG 답변을 제공하고, CSV 기반으로 인근 병원 위치 및 기본정보를 조회할 수 있는 Streamlit 기반 챗봇 웹 애플리케이션을 구현하는 것을 목표로 합니다.","정부 누리집 응급처치 가이드 PDF, 스포츠안전재단 응급처치 매뉴얼 PDF, 공공데이터 지역별 의료시설 현황 CSV","LLM, RAG, GPT-4o-mini, OpenAI API, Streamlit, LangChain, Fine-tuning, BERTScore, Hallucination Score",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN05-3RD-2TEAM
113,SK네트웍스 Family AI 캠프,5,교과목실습3,"기업의 인사, 복무, 징계 규정과 법률 문서를 기반으로 법적 질의에 답변하는 LLM 연동 법률 확인 챗봇 시스템입니다.","기존 챗봇이 특정 기업의 규정을 반영하지 못하고 일반적인 정보만 제공하는 한계를 해결하기 위해, 공항 및 관련 기관의 규정과 절차를 반영한 챗봇을 구현했습니다. 한국공항공사 인사·복무·징계 규정과 법률/규정 텍스트를 활용해 RAG, 벡터 DB, GPT 모델 파인튜닝 기반 답변을 비교·검증하고, Streamlit으로 규정 관련 정보를 확인할 수 있는 UI를 구현했습니다.","대한민국 헌법, AI HUB 법률/규정 텍스트, 한국공항공사 인사·복무·징계 규정","Python, Streamlit, LLM, GPT 모델 파인튜닝, RAG, 벡터 DB, LangChain",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN05-3RD-3TEAM
114,SK네트웍스 Family AI 캠프,5,교과목실습3,다양한 형식의 문서를 업로드해 OpenAI 임베딩과 GPT 모델로 검색 및 질의응답을 수행하는 AI 기반 문서 Q&A 시스템입니다.,"기존 문서 검색 방식의 한계를 극복하고 사용자가 원하는 정보를 쉽고 빠르게 얻을 수 있도록 설계된 프로젝트입니다. PDF, CSV, TXT, XLSX 문서를 업로드해 텍스트를 추출·분할하고, OpenAI 임베딩 모델로 벡터화한 뒤 Pinecone에 저장하여 자연어 질문에 대한 답변과 참고 문서 출처를 제공합니다.",,"Python, Streamlit, LangChain, OpenAI text-embedding-ada-002, OpenAI GPT-3.5, OpenAI GPT-4, Pinecone, RAG",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN05-3RD-4TEAM
115,SK네트웍스 Family AI 캠프,5,교과목실습4,"운전자 보험 약관 관련 질문에 답하고 보험 상품 정보, 가입·유지, 보험금 청구 절차 등을 안내하는 LLM 연동 웹 챗봇 프로젝트입니다.","복잡한 운전자 보험 약관과 보장 내용을 사용자가 쉽게 이해할 수 있도록 정보를 명확하게 전달하는 것을 목표로 합니다. 사용자 질문에 따라 관련 보험 상품을 매칭하고, 가입 및 계약 변경 안내, 보험금 청구 절차, FAQ 자동 응답, 대략적인 보험료 또는 보장 가능성 안내 기능을 제공합니다.",,"Python, HTML, CSS, JavaScript, Dockerfile",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN05-4TH-1TEAM
116,SK네트웍스 Family AI 캠프,5,교과목실습4,RAG 기반으로 응급처치 매뉴얼 답변과 인근 병원 기본정보 조회를 제공하는 Django 챗봇 웹 애플리케이션입니다.,"응급처치 절차는 골든타임 내 수행될 경우 중요하지만 실제로 이해하고 기억하는 비율이 낮다는 문제를 배경으로 한다. PDF 매뉴얼 정보를 기반으로 응급처치 절차에 대한 답변을 제공하고, CSV 기반으로 원하는 지역의 병원 위치 및 기본정보를 조회할 수 있도록 한다. 프로젝트 목표는 LLM 웹 애플리케이션을 제작하고 배포하는 것이다.","정부 누리 집 응급 처치 가이드 PDF, 스포츠 안전 재단 응급처치 매뉴얼 PDF, 공공 데이터 지역 별 의료 시설 현황 CSV","RAG, gpt-4o-mini, Django, AWS, Nginx, Gunicorn",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN05-4TH-2TEAM
117,SK네트웍스 Family AI 캠프,5,교과목실습4,공항 내부 법률 규정과 절차를 기반으로 직원 질문에 답변하는 LLM 연동 법률 확인 챗봇 시스템입니다.,"기존 챗봇이 일반적인 정보 제공에 그치고 특정 기업의 내부 법률 규정을 반영하지 못하는 한계를 해결하기 위해 개발되었습니다. 사용자는 로그인 후 질문을 입력하면 RAG 및 LangChain 기반 LLM을 활용한 답변을 받을 수 있으며, 텍스트 파일 분석, 임베딩 처리, 유사도 검색, 채팅 로그 관리, 규정집 다운로드 등의 기능을 제공합니다. 프로젝트는 내부 법률 규정 접근성을 높이고 직원들의 이해와 업무 효율성을 강화하는 데 중점을 둡니다.",,"Python, HTML5, CSS, JavaScript, Django, Bootstrap, AWS, Nginx, Ubuntu, OpenAI, LangChain, RAG",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN05-4TH-3TEAM
118,SK네트웍스 Family AI 캠프,5,교과목실습4,LLM을 연동해 내외부 문서 기반 질의응답을 제공하는 웹 서비스를 개발하는 프로젝트입니다.,"본 프로젝트는 AI 기반 문서 Q&A 시스템을 웹 서비스로 구현한 것입니다. Django 웹 프레임워크를 활용해 사용자 친화적인 인터페이스를 제공하고, 직관적인 문서 업로드 및 검색 기능을 구현하여 기존 시스템의 핵심 기능을 웹 환경에 최적화하는 것을 목표로 합니다.",,"Python, Django, HTML5, CSS, JavaScript, LangChain, Bootstrap, OpenAI API, Pinecone, Git, GitHub, Visual Studio Code",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN05-4TH-4TEAM
119,SK네트웍스 Family AI 캠프,5,최종프로젝트,LLM과 RAG를 활용해 카메라 사용자 매뉴얼을 질의응답 형식으로 검색하고 답변하는 문서 검색 시스템입니다.,"고객 상담 업무 효율성을 높이고 카메라 사용자가 매뉴얼 정보를 더 쉽게 찾을 수 있도록 문서 검색 시스템을 챗봇 형식으로 구축하는 프로젝트입니다. 캐논, 소니, 후지필름 카메라 매뉴얼을 전처리하고 텍스트 및 이미지 파싱, 청킹, Query Expansion, Retriever, Reranker, Generate 등의 과정을 통해 매뉴얼 안내와 문제 해결 가이드를 제공합니다.","캐논, 소니, 후지필름 브랜드 홈페이지에 업로드된 카메라 사용자 매뉴얼 데이터","Python, OpenAI, LangGraph, LangChain, AWS, SQLite, FastAPI, TypeScript, Next.js, CSS, Llama Parser, PyMuPDF, Upstage Parser, GPT-4o, BM25, VectorDB, Cohere Reranking",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN05-FINAL-1TEAM
120,SK네트웍스 Family AI 캠프,5,최종프로젝트,금융 정보 분석과 추천 기능을 통해 사용자에게 맞춤형 투자 솔루션을 제공하는 서비스입니다.,"개인 투자자와 모바일 기반 사용자가 증가하고 금융 챗봇 시장이 성장하는 흐름 속에서, 다양한 금융 정보 분석과 추천 서비스를 제공하는 것을 목표로 합니다. 핵심 기능으로 회원가입, 로그인, 관심 주식 설정, 기업 분석, 뉴스 분석, 차트 분석 기능이 README에 제시되어 있습니다.",Currents API 데이터,"React, Python, Django, MySQL, Nginx, Gunicorn, FastAPI, Uvicorn, PyTorch, Hugging Face, Docker, Docker Compose, AWS EC2",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN05-FINAL-2TEAM
121,SK네트웍스 Family AI 캠프,5,최종프로젝트,"Google Docs 환경에서 LLM을 활용해 비즈니스 문서 작성, 보완, 요약·확장 및 데이터 시각화를 지원하는 Chrome 확장 프로그램입니다.","FinPilot은 Google Docs에서 사용자가 문서를 더 효율적으로 작성하고 관리할 수 있도록 설계된 LLM 어시스턴트 서비스입니다. 초안 작성, 단락 생성, 요약 및 확장, 웹 데이터 기반 시각화, CSV 업로드 데이터 기반 시각화 기능을 제공하며 생성된 텍스트를 Google Docs에 바로 반영할 수 있습니다. 내부적으로 Self-RAG와 Corrective RAG 아키텍처를 적용해 단락 생성 시 환각 현상을 최소화하고 정확한 정보를 제공하는 방향을 제시합니다.","Tavily 웹 검색 데이터, DART 재무제표 데이터, Yahoo Finance 주식 정보 데이터","Chrome Extension, Google OAuth 2.0, Google Docs, Chrome Web Store, HTML5, CSS, JavaScript, Figma, Framer, AWS, NGINX, Gunicorn, Uvicorn, FastAPI, MySQL, SQLAlchemy, Docker, RunPod, LangGraph, Tavily, DART, Yahoo Finance, Chroma, Hugging Face, Ollama, LangServe, OpenAI, Python",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN05-FINAL-3TEAM
122,SK네트웍스 Family AI 캠프,5,최종프로젝트,개발자 AI 모의면접,"AI 면접 채용 기관수 : 조사 참여한 기업 10곳 중 6개사에 달하는 6.1%가 비대면 채용 전형 운영을 하고 있음. 실제 면접과 유사한 경험을 제공하는 시스템과 지원자의 배경과 경험을 반영한 질문 생성과 개인화된 피드백 시스템이 부족함. 사용자가 작성한 이력서 기반 맞춤형 질문을 생성하고, 세부적인 평가를 진행함.",,"Python, JavaScript, HTML, CSS, C",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN05-FINAL-4TEAM
123,SK네트웍스 Family AI 캠프,6,교과목실습1,수소연료전지차 통합 정보 조회 시스템,수소차 관련 CSV·웹·공공 데이터를 통합 저장하고 차량 정보를 제공하는 SQL 기반 조회 시스템 구축,,"Selenium, Open API, SQL Database, CSV",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN06-1st-1Team
124,SK네트웍스 Family AI 캠프,6,교과목실습1,전기차 관련 기업 주가·실적·뉴스 동향 분석,전기차 관련 기업의 주가·영업이익·최신 뉴스를 수집해 산업 동향 파악을 지원하는 시각화 플랫폼 구축,,"Python, MySQL, Streamlit, requests, Pandas, BeautifulSoup, Discord, GitHub",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN06-1st-2Team
125,SK네트웍스 Family AI 캠프,6,교과목실습1,교통사고 통계 및 자동차 제조사 FAQ 조회 시스템,지역·도로별 교통사고 통계 시각화와 자동차 제조사 FAQ 통합 검색 기능 제공,현대·기아·제네시스 자동차 FAQ 웹 크롤링 데이터,"Python, MySQL, Streamlit, Discord, GitHub, 웹 크롤링",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN06-1st-3Team
126,SK네트웍스 Family AI 캠프,6,교과목실습1,금천구 교통사고 현황 분석 및 시각화,금천구 교통사고를 기상·차량·연령별로 분석하고 MySQL·Streamlit 기반 통계 화면 제공,한국도로교통공단 제공 교통사고 자료,"Python, Pandas, MySQL, Selenium, Streamlit, pymysql, openpyxl, SQLAlchemy, configparser, matplotlib, xlrd, seaborn, Git, GitHub",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN06-1st-4Team
127,SK네트웍스 Family AI 캠프,6,교과목실습1,전국 주유소 유가·전기차 충전 정보 비교 시스템,실시간 주유소 유가와 전기차 충전소 위치·요금을 통합 비교하는 생활형 정보 서비스 구축,ev.or.kr 전기차 충전 요금 웹 크롤링 데이터,"Python, MySQL, Pandas, Selenium, Streamlit, Streamlit-folium, PyMySQL, Kakao 지도 API, Git, GitHub",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN06-1st-5Team
128,SK네트웍스 Family AI 캠프,6,교과목실습1,지역별 전기차·보조금 통합 조회 애플리케이션,지역·차종별 국비·지방 보조금과 전기차 상세정보를 한 화면에서 제공하는 통합 검색 서비스,,"Python, MySQL, Streamlit, Git, GitHub, Visual Studio Code",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN06-1st-6Team
129,SK네트웍스 Family AI 캠프,6,교과목실습1,서울시 자동차 등록 대수·교통사고 상관 분석,서울시 자치구별 자동차 등록 추이와 사고 건수를 비교해 상관관계를 확인하는 데이터 시각화,,Streamlit,https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN06-1st-7Team
